;text;sentiment;preprocessed_text
0;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
1;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
2;Yeezus stfu old man ;-1;Yeezus stfu old man
3;"#Currys  10% off the Marked Price on Drones. - #Coupon -&gt; ";0;off the Marked Price on Drones
4;Hoover Dynamic Next DX C10DE Smart 10 kg Condenser Tumble Dryer - 229.99 @ Currys -  ;0;Hoover Dynamic Next DX C10DE Smart kg Condenser Tumble Dryer Currys
5;"Exclusive // Stephen Curry? ?hinese New Year Curry 4s, customized by @Mache275:

";0;Exclusive Stephen Curry hinese New Year Curry 4s customized by
6;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
7;"@curryspcworld Have to say ! ""the service at your Newbury branch was appalling""! 8 people I counted talking to each other and no one serving!! Then was given wrong information about a product and wasted 4 hours of my day, then returned it! And was spoken ";-1;Have to say the service at your Newbury branch was appalling people I counted talking to each other and no one serving Then was given wrong information about a product and wasted hours of my day then returned it And was spoken
8;"Save up to 50 on #Chromebook deals at @curryspcworld PC World

 ";0;Save up to on deals at PC World
9;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
10;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
11;"FREEISH Collect Nectar points at Sainsburys, Ebay, Homebase, Argos, Currys and others aaaaand then spend those points on a Nero coffee! //buff.ly/2G0U0R1""";0;FREEISH Collect Nectar points at Sainsburys Ebay Homebase Argos Currys and others aaand then spend those points on a Nero coffee buff ly 2G0U0R1
12;@curryspcworld Hiya. From saying I? like to buy this laptop to still be waiting to walk out the sort with it 75 minutes later normal?;-1;Hiya From saying I like to buy this laptop to still be waiting to walk out the sort with it minutes later normal
13;"@curryspcworld

Try English

Its Aitch not haitch

Won't be buying from you,,, got kids to think about

Try English, it'll do you the world of good.";-1;Try English Its Aitch not haitch Won t be buying from you got kids to think about Try English it shall it will do you the world of good
14;"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones &amp; Smart Tech {} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinit ";0;Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
15;And I cant wait til im off work so I can go buy me some currys, need the new hoop shoes fasholy. Had my shits for hella fuckin long;-1;And I cant wait til im off work so I can go buy me some currys need the new hoop shoes fasholy Had my shits for hella fuckin long
