,index,date,time,user_name,text,retweeted,preprocessed_text
0,0,21/02/2018,12:08,mojoshorthouse1,"#HOOVER Jive Handy Handheld Vacuum Cleaner at #Currys/ebay, £18.59 https://www.latestdeals.co.uk/deals/hoover-jive-handy-handheld-vacuum-cleaner-currysebay … #lduk via @LatestDealsUK",False,Jive Handy Handheld Vacuum Cleaner at ebay via
1,1,21/02/2018,09:59,zippy30,Bloody day wasted no delivery another day of no washing machine  not even a text or email from them to let us know it wasn't coming should've known better not to get anything from them again #currys #pcworld ,False,Bloody day wasted no delivery another day of no washing machine not even a text or email from them to let us know it was not coming should have known better not to get anything from them again
2,2,21/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
3,3,21/02/2018,09:17,betterwithbean,"Great day cooking  and shooting  more #beanlite nutrition content, with the lovely @MinaOnTheMoon
#vegan #veganrecipes #veganfood #british #britishfood #pubgrub #worldfood #currys #asianfood #foodie #foodlover #foodphotography #foodblogger #calories #caloriedeficitpic.twitter.com/gNZ6Rj1lM9",False,Great day cooking and shooting more nutrition content with the lovely
4,4,21/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,Get your Kitchen Appliances TV Entertainment Cameras Audio Computing PC Accessories Phones Smart Tech From CURRYS PC WORLD
5,5,21/02/2018,06:56,EggySoldier,Central Government will catch on eventually and start taxing the arse out of on-line retailers as local govt does now to the high-street #Maplins #Currys #JohnLewis #Debenhams #Amazon,False,
6,6,21/02/2018,06:51,EggySoldier,"Actually its interesting as #Currys carry very little range in their stores compared to just a few years ago ( and compared to #Maplin). They just stock the big sellers and you have to buy everything else on-line. Their used to be much, much more variety. #SignOfTheTimes",False,
7,7,20/02/2018,15:15,tamtinaa,Mic'd Up! #Stephen Curry's #Best #Wired #Moments #From the #2018 ... http://bit.ly/2GyC7cx  #Currys #Micdpic.twitter.com/cqKaWbVrf6,False,
8,8,20/02/2018,15:15,tamtinaa,Mic'd Up! #Stephen Curry's #Best #Wired #Moments #From the #2018 ... http://bit.ly/2GxTTNd  #Currys #Micdpic.twitter.com/8yYQGyFVDz,False,
9,9,20/02/2018,12:54,auntydebsandsav,"New hoover time. My old hoover blew up so time for a new one
@curryspcworld
@Dyson
#dyson #hoover #vaccum #cleaning #currys #curryspcworld #carpetcleaner #tidyhouse #springcleaning #springclean #vaccumcleaner #hoovering #dysonsupersonic #newtoy #clean #cleanhouse #house #happy #pic.twitter.com/n7NBtA54vz",False,
10,10,20/02/2018,08:02,bloefeld437,Why does anyone buy from #currys ? Its a place to look then buy cheaper elsewhere,False,
11,11,20/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
12,12,20/02/2018,02:36,BigDave_777,"#teamknowhowuk
#currys
Customer service#rubbish",False,
13,13,20/02/2018,01:40,mart0777,Probably more due to the fact that online presence is terrible and dustribution poor. They are also very expensive compared to say #Amazon... even #currys. #brexit just nice conviniant excuse.,False,
14,14,19/02/2018,16:21,MickeyJohnson07,"#sure the #NBAAllStar was a meaningful game #lebron, his side 148 to #currys 145, #nodefense #horriblegame #cbagame #farce",False,
15,15,19/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
16,16,19/02/2018,07:01,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbgI7J",False,
17,17,18/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
18,18,18/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
19,19,17/02/2018,18:57,markforza,@jackfrags got my #XboxOneX with a 4K TV at same time & paid £449 less £100 for buying both together! Was from #Currys but might be finished now,False,
20,20,17/02/2018,17:20,livelee72_leon,Big shout out to the #Currys for speaking to our #YEAA… https://www.instagram.com/p/BfUcJKggCefWVkFVsBV6W7FRw8hsa26z1cr6uc0/ …,False,
21,21,17/02/2018,14:19,mojoshorthouse1,"#ASUS #ZenPad Z380M 8.0"" Tablet - 16 GB, Grey, £79.99 at #Currys PC World https://www.latestdeals.co.uk/deals/asus-zenpad-z380m-80-tablet-16-gb-grey-currys-pc-world … #lduk via @LatestDealsUK",False,
22,22,17/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
23,23,16/02/2018,14:58,QuirkyandKitsch,"the joy of PC World Know How Team repairing your laptop, ignoring what you told them the fault was and sending it back with just a recovery - you reinstall all your programmes and data and next day exactly same problem crap service #Currys #KnowHow #Knowhowteam @pcworld",False,
24,24,16/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
25,25,16/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
26,26,16/02/2018,03:28,mojoshorthouse1,"New #LENOVO #YOGA 510-14AST 14"" 2 in 1 - Black at #Currys/ebay, £379.98 https://www.latestdeals.co.uk/deals/new-lenovo-yoga-510-14ast-14-2-1-black-currysebay … #lduk via @LatestDealsUK",False,
27,27,15/02/2018,07:58,julianassangewl,"Over the years I have bought numerous electronic products from #PCWorld #Currys & #Dixons, but never again! Without the competition, you think you can get away with anything, but not for much longer! This is what your customers think of you! @curryspcworldhttps://www.theguardian.com/money/2018/feb/14/currys-knowhow-customer-service-delivery#comment-112262905 …",False,
28,28,15/02/2018,07:56,julianassangewl,"Over the years I have bought numerous electronic products from #PCWorld #Currys & #Dixons, but never again! Without the competition, you think you can get away with anything, but not for much longer! This is what your customers think of you! https://www.theguardian.com/money/2018/feb/14/currys-knowhow-customer-service-delivery#comment-112262905 …",False,
29,29,15/02/2018,07:55,julianassangewl,"Over the years I have bought numerous electronic products from #PCWorld #Currys & #Dixons, but never again! Without the competition, you think you can get away with anything, but not for much longer! This is what your customers think of you! https://www.theguardian.com/money/2018/feb/14/currys-knowhow-customer-service-delivery#comment-112262905 …",False,
30,30,15/02/2018,07:53,julianassangewl,"This is what your customers think of you! Over the years I have bought numerous electronic products from #PCWorld #Currys & #Dixons, but never again! Without the competition, you think you can get away within anything, but not for much longer! https://www.theguardian.com/money/2018/feb/14/currys-knowhow-customer-service-delivery#comment-112262905 …",False,
31,31,15/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
32,32,14/02/2018,12:08,LouiseBritton14,Who needs an oven anyway #currys #twats,False,
33,33,14/02/2018,09:54,mojoshorthouse1,"#MOTOROLA Smart Nursery #Dream Machine, £49.99 at #Currys PC World https://www.latestdeals.co.uk/deals/motorola-smart-nursery-dream-machine-currys-pc-world … #lduk via @LatestDealsUK",False,
34,34,14/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
36,36,14/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
37,37,14/02/2018,05:22,SabihaAhmad,"#Currys and #PCWorld have the most appalling customer service. I have never had a good retail experience there, and now very rarely use!!https://twitter.com/guardian/status/963675391448805376 …",False,
44,44,13/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
45,45,13/02/2018,01:07,SWChorltonirish,#currys #curryspcworld fantastic attitude from the driver of this vehicle this morning. Blocked… https://www.instagram.com/p/BfIZlqpBGTr/ ,False,
47,47,12/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
48,48,12/02/2018,08:59,Dogsbodyone,Cocked up again and ordered online from #CurrysPCWorld. Christ knows where my orgder is and no way to speak to anyone at #Currys. Usual shambles.,False,
49,49,12/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
50,50,11/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
51,51,11/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
52,52,11/02/2018,06:55,mojoshorthouse1,"#SONY Cyber-Shot Compact #Camera - Gun Metal, £69 at #Currys PC World https://www.latestdeals.co.uk/deals/sony-cyber-shot-compact-camera-gun-metal-currys-pc-world … #lduk via @LatestDealsUK",False,
53,53,11/02/2018,06:03,DAPPER767,"#currys
Bought a 4K Panansonic TV in Dec 2014 with written confirmation that it would support 4K Netflix streaming.  Now told it cannot and needs a 3rd party box connecting. Don't buy from Panasonic/Currys if you want a future-proof product!",False,
54,54,10/02/2018,14:19,nigel_milner,"New beko washing machine from Currys, biggest piece of garbage I've ever bought. 2 washes, leaking from every joint! DO NOT BUY. #beko #currys pic.twitter.com/JyQkkUPe5f",False,
55,55,10/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
56,56,10/02/2018,03:30,RecallsDirect,RT @LivingSafely: #Currys recalls this February? http://bit.ly/1JkAY7h . More #recalls? http://www.RecallsDirect.com ,False,
57,57,10/02/2018,00:55,LS_Health,RT @LivingSafely: #Currys recalls this February? http://ow.ly/AuZT30ijN3G . More #recalls? http://ow.ly/Tmbd30ijN3H ,False,
58,58,10/02/2018,00:45,LivingSafely,Family Safety: #Currys recalls this February? http://ow.ly/9YlI30ijMXA . More #recalls? http://ow.ly/FO8k30ijMXB ,False,
59,59,09/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
60,60,09/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
61,61,09/02/2018,03:19,mojoshorthouse1,"#BREVILLE Hot Cup 8-Cup Hot Water Dispenser at #Currys/ebay, £37.99 https://www.latestdeals.co.uk/deals/breville-hot-cup-8-cup-hot-water-dispenser-currysebay … #lduk via @LatestDealsUK",False,
62,62,08/02/2018,13:35,dcurry1085,"#TBT MY boy's and I, Prince Isaiah, and Prince Dj. #LOVE #GOD1ST #CURRYS #KING #PRINCESpic.twitter.com/gEhzVi43VH",False,
63,63,08/02/2018,08:38,PaulshawUK,"@TeamKnowhowUK What a disgrace, 45minutes currently on hold. Took possession of my TV after almost a month away today. Missing one connect box and the screen is loose... #currys #teamknowhowuk #samsung rubbish TV",False,
64,64,08/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
65,65,08/02/2018,06:54,andydennis2402,@TeamKnowhowUK just had to call in to chase my failed installation refund which I've been waiting on for 5 weeks. All I got was an apology. Where's my missing interest & refund for time spent chasing?? #NotHappy #Currys #CustomerServices,False,
66,66,08/02/2018,06:21,FukwitLoopy,Just seen you get put on #Currys at home #up https://twitter.com/typ4ever3/status/961604428297134080 …,False,
67,67,07/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
68,68,07/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
69,69,07/02/2018,01:00,lalbaghindian,Even more of a reason to come and enjoy one of our #currys #cambridgecurry #lalbaghhttp://www.dailymail.co.uk/health/article-86513/Why-curries-good-you.html …,False,
